col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,label
0.6147363106835166,0.024208389553686205,0.9964185550580313,0.438357533611737,0.8375487692005045,0.6957627121682392,0.2892789678608584,0.015399180914138721,0.49934923529029696,0.18841906183441803,3
0.28656858513303674,0.9535814576203425,0.3250543212886655,0.7477413709429919,0.0041649215933132755,0.9721746760137718,0.725813386683525,0.6100044521576479,0.5781579095436603,0.33648232732315253,1
0.3866370976806227,0.7874479359427,0.10231964477031597,0.019419540113135403,0.8219961230366308,0.5621595803421919,0.5892273281616787,0.20686702387032996,0.3607720137964342,0.9674198804991683,2
0.3591170859396221,0.48374376530270136,0.2633530994783616,0.7814208946603957,0.4447171089835852,0.17468810149798286,0.9413813024946716,0.03579236860989754,0.2491455766992241,0.529356973721538,2
0.9175159348849824,0.23261426062781076,0.48838599649919234,0.6875818721205907,0.846364993441722,0.03373385069497237,0.44929238161611196,0.24284454843588477,0.4241412037166794,0.1083196305199362,3
0.04123459007580732,0.7195701407119788,0.5480729407353169,0.8537985653905701,0.5011647564829921,0.573567330447174,0.6370090135701886,0.28542517504863374,0.9893216405354687,0.06684130544658196,4
0.18379524175763118,0.3271623421515716,0.7398177644143735,0.20750822256930523,0.8915100419047796,0.3233553830603534,0.981446437758635,0.5905578014375623,0.10926842960340888,0.9264690143486115,1
0.2885827411270001,0.5805655185999947,0.5556350023070687,0.40239624008940766,0.762536063951084,0.07616249801826691,0.5235399828437396,0.8398915910956425,0.302584257139383,0.20183000360825465,0
0.6989484083753444,0.8483515401896812,0.8700829896123504,0.3474589419851748,0.4947262833129785,0.7181782384337569,0.28565323087048367,0.05486778428913386,0.6725020937299927,0.023934932719520297,4
0.7415454469038971,0.6407682467398896,0.3391710115151194,0.12846350007610585,0.3379199991327738,0.7345468796792484,0.8626986711848141,0.5359818570833085,0.12927770118017268,0.9483261751050184,1
0.2256424754972547,0.19905237476463278,0.9417928137023843,0.11008567707007122,0.06607336381083251,0.38528547960889903,0.4050216895630304,0.34699624121553074,0.022958796639144574,0.7517599115842687,2
0.30134908679735917,0.4590485227867894,0.7920839867669914,0.16682646396048018,0.2401615200840197,0.6403585648938132,0.38889342818959993,0.8047476145100771,0.722579126754141,0.7211551512957282,3
0.36856086418320566,0.15280934399878754,0.07525061136006561,0.700198756167575,0.8527862255789616,0.18848283019922663,0.17731034469492868,0.75385758029513,0.9701710681947102,0.24263968899121324,3
0.5593575618613811,0.8693494033210555,0.8394301301396218,0.03637574344934802,0.5137750658171863,0.6901976780580543,0.9289220823695625,0.23031136835123855,0.4893721132002018,0.3084039693842583,1
0.6283333907858305,0.8975665644168623,0.6973328370350933,0.5324026002133968,0.014256762683005797,0.09678064815156306,0.4868767937372729,0.6354442159737301,0.3952064508923713,0.6403272016006074,2
0.9073497989216835,0.5886287584057998,0.35021158297926236,0.8676260783252302,0.4308335534853671,0.51459885952573,0.6658988291210614,0.719899368235604,0.9697334704089277,0.8430652730876,2
0.6523655394071517,0.6740218029738101,0.8893711403019681,0.27791164456334394,0.5446826251100545,0.9303273951020873,0.5877148669967723,0.7008036434342094,0.7979494530285481,0.6744320832323714,0
0.7750759649069426,0.5407482054027895,0.16586088360464002,0.6522245801266057,0.28596978499358594,0.08688527827875558,0.1603471010774492,0.40133003296055747,0.4528466381686762,0.5625513128433057,0
0.5220668670386995,0.25544363395422687,0.735004399135335,0.9192823858192513,0.37047988136554133,0.9390941336512152,0.6726991983374946,0.9658269145711589,0.6508245350435747,0.5853590667650426,3
0.31675545698952534,0.5418246258712329,0.9226749318710791,0.9064638766341286,0.33628622221955484,0.04375907619090702,0.49608659332936045,0.4087617211650323,0.5864021615744214,0.6580794375228953,0
